,Lat,Lon,Province,Code
62,50.138327736,-120.857681537,British Columbia,
63,53.452378426,-89.14168179900004,Ontario,
64,51.78865883200001,-122.236447751,British Columbia,
65,59.32748566800001,-107.188921826,Saskatchewan,
66,49.675163715,-109.198160739,Saskatchewan,
67,53.80385891499998,-113.92055456999998,Alberta,
68,49.738164407999996,-93.057141246,Ontario,
69,43.043221331999966,-80.11908300599998,Ontario,
70,49.17266995599999,-93.92645909299999,Ontario,
71,47.81370357999998,-83.44605133699997,Ontario,
72,49.892447609999984,-94.54344007499998,Ontario,
73,48.93641717100002,-125.52596562000002,British Columbia,
74,46.12954920599997,-80.03238071599999,Ontario,
75,45.89063253000001,-64.50280258800001,New Brunswick,
76,64.112873526,-117.35238862699998,Northwest Territories,
77,52.82038607800001,-113.45504631799996,Alberta,
78,49.60261503499999,-87.95905849200001,Ontario,
79,50.80169678300001,-103.89485278,Saskatchewan,
80,51.68011258600001,-127.23206378999998,British Columbia,
81,53.105706000999994,-104.87757488300001,Saskatchewan,
82,50.98669692399999,-120.240793348,British Columbia,
83,45.326074328999994,-80.05698523000002,Ontario,
84,47.533274151,-65.66912270699999,New Brunswick,
85,53.174938683999976,-106.806615342,Saskatchewan,
86,54.04799332800002,-109.66948261299999,Saskatchewan,
87,50.68203830499999,-120.29650655400002,British Columbia,
88,55.85221919499998,-121.65300372899998,British Columbia,
89,52.916559635999995,-109.058313222,Saskatchewan,
90,49.751758166,-102.27037093700001,Saskatchewan,
91,62.404721438000024,-110.73870802599998,Northwest Territories,
92,52.74473334999999,-100.69229904999996,Manitoba,
93,50.549323312000006,-98.64734437899999,Manitoba,
94,44.182799999,-78.06328042400004,Ontario,
95,50.031657403000004,-125.24791935299999,British Columbia,
96,49.356845609,-121.606183637,British Columbia,
97,51.32707481199998,-104.004442653,Saskatchewan,
98,48.659340611000005,-74.93796020299999,Québec,
99,50.26443713800001,-121.39824635999996,British Columbia,
100,53.932956956000005,-125.66736571,British Columbia,
101,46.35792752700003,-62.90261867499999,Prince Edward Island,
102,54.681381396000006,-111.911099025,Alberta,
103,52.363600917999975,-126.71054281699999,British Columbia,
104,49.028907936,-88.24532269399998,Ontario,
105,51.87665262500002,-106.71202523,Saskatchewan,
106,53.266887,-131.98950100000002,British Columbia,
107,54.135418042000026,-108.404323601,Saskatchewan,
108,48.337563767000006,-123.60830199899999,British Columbia,
109,52.28044891899998,-122.144782114,British Columbia,
110,45.67438800000002,-62.652287,Nova Scotia,
111,56.102080538,-117.865029012,Alberta,
112,45.94978538300001,-66.85089406700001,New Brunswick,
113,49.87392901499999,-126.97928034900002,British Columbia,
114,52.72617602999998,-113.425473045,Alberta,
115,53.82325100000003,-89.88489499999996,Ontario,
116,52.94825438700003,-91.347018944,Ontario,
117,49.13261530199998,-121.938564952,British Columbia,
118,46.10927922399998,-67.57730259899999,Carleton County,
119,55.548633946,-116.15486274800006,Alberta,
120,53.480050243999976,-108.87464588,Saskatchewan,
121,50.944251894,-103.355056053,Saskatchewan,
122,55.93179350499997,-110.72177498200001,Alberta,
123,43.047636314999984,-80.11527217999998,Ontario,
124,53.817285996,-94.85123575300005,Manitoba,
125,45.769407892,-80.500756789,Ontario,
126,50.83035999999999,-96.30991,Manitoba,
127,47.22043740300001,-74.38903088400002,Québec,
128,50.12583127200003,-124.92126902700001,British Columbia,
129,46.78724760799997,-67.69698884799999,New Brunswick,
130,50.13365762500001,-61.802421544000026,Québec,
131,44.173137333999996,-78.21215834600001,Ontario,
132,42.563978733,-81.87436613300001,Ontario,
133,49.23016091199997,-122.805957041,British Columbia,
